Asc_Prof_Alias,Asc_Prof_Network,Asc_Prof_Obj,Asc_Prof_FirstName,Asc_Prof_LastName,Asc_Prof_Archetype,Asc_Prof_Role,Asc_Prof_HiddenRoles,Asc_Prof_Age,Asc_System_Age_Original,Asc_Prof_Occupation,Asc_Prof_JobVenue,Asc_Prof_JobLevel,Asc_Prof_JobSchedStart,Asc_Prof_Race,Asc_Prof_Height,Asc_Prof_Weight,Asc_Prof_Feet,Asc_Prof_Band,Asc_Prof_Residence,Asc_Prof_SubResidence,Asc_Prof_PartnerName,Asc_Prof_PartnerJobLevel,Asc_Prof_Partner_Desc,Asc_Prof_Weapon,Asc_Prof_Attack_Name,Asc_Prof_Attack_Desc,Asc_Prof_Attack_Type
Tony M,Milo,Asc_Tony_M,Tony,Marzo,The Ageless Merchant,Wellness Store Owner,The Soothsayer / The Hypochondriac,40,40,Lush Merchant,Lush,5,9,Latino,67,160,10,7.25,N District,House_NDistrict_Tony_M,Dakota Quinn,4,**Partner:** Dakota (Girlfriend). **Sales Associate** (Level 4). Tony loves that she keeps him current on city trends and gossip.,Hormone Injection,The Ageless Drain,Accelerates physical decline/aging in target.,Anti-Air
Justin S,Milo,Asc_Justin_S,Justin,Sane,The Culinary Alchemist,Head of Cafeteria Services,The Poison Taster / The Perfectionist,32,32,LC Cafeteria Staff,University Cafeteria,5,9,White,68.5,200.5,10.5,7.25,NE District,House_NEDistrict_Justin_S,Sasha Tatcha,1,**Partner:** Sasha (Wife). **Unemployed** (Level 1). Justin is paranoid that sharing a name with London F's partner will lead to judgment.,Ceramic Sashimi Knife,The Precision Garnish,"A swift, upward slashing motion intended to slice tendons or catch a falling ingredient with surgical accuracy.",Anti-Air
Rodnar R,Milo,Asc_Rodnar_R,Rodnar,Rokwud,The Bureaucratic Sovereign,College Principal,The Gatekeeper / The Bureaucrat,48,48,LC Principal,University Principal Office,8,9,White,74,200,11,7,NE District,House_NEDistrict_Rodnar_R,Luna Luxe,7,**Partner:** Luna (Wife). **Head of Alumni Relations** (Level 7). Her social diplomacy contrasts sharply with his isolation.,Armored Briefcase,Case Closed,"Holds his reinforced briefcase like a riot shield and bulls forward, slamming it into the enemy.",Charge
John P,Milo,Asc_John_P,John,Price,The Quiet Constant,College Librarian,The Archivist / The Spy,29,29,LC Librarian,University Library,4,9,White,70,171,10.25,8.25,NE District,House_NEDistrict_John_P,Veronica Leal,6,"**Partner:** A construction firm manager. Calm under pressure and accustomed to dealing with brutes without hesitation. She is decisive, grounded, and operationally dominant, yet deeply loyal to John. Though often seen as the one 'wearing the pants,' she actively works to position John as the visible leader, believing in his intelligence and integrity more than he does himself. Her influence is supportive, not controlling—she steadies him while encouraging him forward.",Heavy Encyclopedia,The Vertical Citation,"Executes a clumsy but terrifying parkour leap, slamming a heavy tome onto the target's head.",Aerial
Karter H,Milo,Asc_Karter_H,Karter,Hoff,The Charismatic Fraternity President,Frat President,Populist Peacemaker / Fraternity Nexus,24,35,Fraternity Member,Fraternity House,1,9,White,71,200,11,6.5,Fraternity House,House_FraternityHouse_Karter_H,Katee V,1,**Partner:** Katee (Girlfriend). **Lewor Student** (Level 1). She is his emotional anchor and the only person he trusts with his fear.,Weighted Class Ring,The Sucker Punch,"Feigns a handshake or truce, then delivers a crushing blow with a heavy gold ring (Low attack).",Low
Peter G,Milo,Asc_Peter_G,Peter,Green,The Stoic Coach,Parkour Coach / Philosopher,The Grounding Rod / The Ascetic,27,27,Parkour Coach,Parkour Class,4,9,Latino,66,187,8,6.5,NE District,House_NEDistrict_Peter_G,Chloe Temple,3,"**Partner:** Chloe (Dating). **Hairdresser** (Level 3). He admires her fluid approach but remains aloof, testing her stability.",Gravity,The Vertigo Drop,"Uses the environment to disorient the target, forcing a check against their own weight before dropping on them.",Aerial
Joe B,Milo,Asc_Joe_B,Joe,Bonez,The Honest Coach,Head Football Coach,The Gentle Giant / The Debt Slave,22,22,Football Coach,Football Class,6,9,White,76,270,11.25,9,NE District,House_NEDistrict_Joe_B,Riley Jean,4,"**Partner:** Riley (Wife). **Pharmacy Assistant** (Level 4). She provides a safe, grounded home where politics are banned.",Linebacker Build,The Blindside Blitz,"Tucks his shoulder and sprints forward, using pure mass and momentum to shatter the opponent's defense.",Charge
Xano D,Milo,Asc_Xano_D,Xano,Dee,The Temperamental Purist,Wrestling Coach,The Berserker / The Purist,31,31,Wrestling Coach,Wrestling Class,5,9,Latino,68,187,10.5,7,NE District,House_NEDistrict_Xano_D,Mackenzie Mace,5,"**Partner:** Mackenzie 'Mac' (Partner). **Personal Trainer** (Level 5). Equally obsessed with fitness, creating a perfectly aligned home life.",The Whistle,The Single-Leg Takedown,"Xano shoots low, grabbing the opponent's ankle and driving them into the mat with immense force.",Low
Quinton J,Kevin,Asc_Quinton_J,Quinton,James,The Merchant,Pharmacy Market Merchant,The Data Broker / The Pianist,32,,Pharmacy Market Merchant,Pharmacy Market,6,9,White,72,185,11,7.5,N District,House_NDistrict_Quinton_J,Willow Ryder,7,**Partner:** Willow Ryder (Wife). **High-End Corporate Lawyer** (Level 7). She protects him from liability for selling client data.,Weighted Cane (Medical),The Forced Rest,"Uses his cane to sweep low, tripping opponents and forcing them to the ground while ensuring minimal physical strain on his knee.",Low
Milan P,Kevin,Asc_Milan_P,Milan,Ponjevic,The Architect,Chef,The Critic / The Safe Haven,35,,Chef,Lexena Restaurant,6,9,White,72,167,11.5,8,SW District,House_SWDistrict_Milan_P,Chloe Temple,7,"**Partner:** Chloe Temple (Wife). **Architect** (Level 7). She designed his minimalist, high-end restaurant.",Heavy Meat Tenderizer (Mallet),The Gourmet Smash,Jumps onto a counter or table and uses the heavy tenderizer mallet to smash downward onto the target's head or shoulders.,Aerial
