Alias,Network,Color,Theme,HQ,Cardinal,Vice,BattlePerk,BattleQuirk,Instance,PartnerAlias,FamilyRole,FamilyRoleOrder,FirstName,LastName,AgeOriginal,Occupation,JobVenue,Race,Height,Weight,Feet,Band,Residence,JobVenueArea,JobVenueRegion
Tony M,Milo,Blue,Changed Destiny,Lewor College,Eloquence,Envy,Charismatic,Disruptive,1,Dakota Q,sibling,1,Tony,Marzo,40.0,Lush Merchant,Lush,Latino,67.0,160.0,10.0,7.25,N District,Lexena Market,N District
Justin S,Milo,Blue,Changed Destiny,Lewor College,Eloquence,Envy,Charismatic,Disruptive,2,Sasha T,sibling,2,Justin,Sane,32.0,LC Cafeteria Staff,University Cafeteria,White,68.5,200.5,10.5,7.25,NE District,Lewor College,Central District
Rodnar R,Milo,Blue,Changed Destiny,Lewor College,Eloquence,Envy,Charismatic,Disruptive,3,Luna L,sibling,3,Rodnar,Rokwud,48.0,LC Principal,University Principal Office,White,74.0,200.0,11.0,7.0,NE District,Lewor College,Central District
John P,Milo,Blue,Changed Destiny,Lewor College,Eloquence,Envy,Charismatic,Disruptive,4,Veronica L,sibling,4,John,Price,29.0,LC Librarian,University Library,White,70.0,171.0,10.25,8.25,NE District,Lewor College,Central District
Karter H,Milo,Blue,Changed Destiny,Lewor College,Eloquence,Envy,Charismatic,Disruptive,5,Katee V,sibling,5,Karter,Hoff,35.0,Fraternity Member,Fraternity House,White,71.0,200.0,11.0,6.5,Fraternity House,Fraternity House,Central District
Peter G,Milo,Blue,Changed Destiny,Lewor College,Eloquence,Envy,Charismatic,Disruptive,6,Chloe T,sibling,6,Peter,Green,27.0,Parkour Coach,Parkour Class,Latino,66.0,187.0,8.0,6.5,NE District,Lewor College,Central District
Joe B,Milo,Blue,Changed Destiny,Lewor College,Eloquence,Envy,Charismatic,Disruptive,7,Riley J,sibling,7,Joe,Bonez,22.0,Football Coach,Football Class,White,76.0,270.0,11.25,9.0,NE District,Lewor College,Central District
Xano D,Milo,Blue,Changed Destiny,Lewor College,Eloquence,Envy,Charismatic,Disruptive,8,Mackenzie M,sibling,8,Xano,Dee,31.0,Wrestling Coach,Wrestling Class,Latino,68.0,187.0,10.5,7.0,NE District,Lewor College,Central District
Quinton J,Kevin,Yellow,Corporate Mismanagement,Sales Global Protection,Cunning,Sloth,Resourceful,Enigmatic,1,Willow R,dad,1,Quinton,James,,Pharmacy Market Merchant,Pharmacy Market,White,72.0,185.0,11.0,7.5,N District,Lexena Market,Central District
Milan P,Kevin,Yellow,Corporate Mismanagement,Sales Global Protection,Cunning,Sloth,Resourceful,Enigmatic,2,Chloe T,dad,2,Milan,Ponjevic,,Chef,Lexena Restaurant,White,72.0,167.0,11.5,8.0,SW District,Lexena Market,Central District
Max S,Kevin,Yellow,Corporate Mismanagement,Sales Global Protection,Cunning,Sloth,Resourceful,Enigmatic,3,Nia B,dad,3,Max,Steele,,Cafe Barista,Cafe Royale,White,69.0,180.0,9.0,7.5,SE District,Cafe Royale,SE District
Andrew B,Kevin,Yellow,Corporate Mismanagement,Sales Global Protection,Cunning,Sloth,Resourceful,Enigmatic,4,Kaye L,dad,4,Andrew,Blue,,Junior Financial Auditor,SGP,White,75.0,205.0,12.0,8.0,SE District,Sales Global Protection,SE District
Brock C,Kevin,Yellow,Corporate Mismanagement,Sales Global Protection,Cunning,Sloth,Resourceful,Enigmatic,5,Eliza E,dad,5,Brock,Cooper,,Senior Claims Analyst,SGP,White,70.0,165.0,10.5,8.0,SE District,Sales Global Protection,SE District
Ramon N,Kevin,Yellow,Corporate Mismanagement,Sales Global Protection,Cunning,Sloth,Resourceful,Enigmatic,6,Valerica S,dad,6,Ramon,Nomar,,IT Systems Administrator,SGP,Latino,74.0,209.0,9.0,6.25,SE District,Sales Global Protection,SE District
Alex L,Kevin,Yellow,Corporate Mismanagement,Sales Global Protection,Cunning,Sloth,Resourceful,Enigmatic,7,Chloe T,dad,7,Alex,Legend,,Risk Assessment Specialist,SGP,White,73.0,200.0,12.0,7.5,SE District,Sales Global Protection,SE District
Danny S,Kevin,Yellow,Corporate Mismanagement,Sales Global Protection,Cunning,Sloth,Resourceful,Enigmatic,8,Willow R,dad,8,Danny,Steele,,Security Operations Manager,SGP,White,69.0,185.0,10.5,7.5,SE District,Sales Global Protection,SE District
Jay P,William,Orange,Old Money,Country Ville,Opulence,Lust,Curated,Exhausted,1,Alex,grand,1,Jay,P,,Dime Time Merchant,Dime Time,Latino,71.0,155.0,10.25,7.5,N District,Lexena Market,N District
Colton C,William,Orange,Old Money,Country Ville,Opulence,Lust,Curated,Exhausted,2,Danae M,grand,2,Colton,Corso,,Country Cook,Country Grill,White,72.0,200.0,11.0,6.5,Country Ville,Country Ville,Country Ville
Tommy P,William,Orange,Old Money,Country Ville,Opulence,Lust,Curated,Exhausted,3,Addison V,grand,3,Tommy,Parker,,Beach Bartender,Beach Bar,White,72.0,178.0,12.0,7.0,SE District,Beach,NW District
Ridge C,William,Orange,Old Money,Country Ville,Opulence,Lust,Curated,Exhausted,4,Jenifer J,grand,4,Ridge,Crix,,Sheriff,Country Sheriff Office,White,69.0,185.0,10.0,7.0,Country Ville,Country Ville,Country Ville
Jason S,William,Orange,Old Money,Country Ville,Opulence,Lust,Curated,Exhausted,5,Eva G,grand,5,Jason,Sarcinelli,,Operational Commander,Farm,White,74.0,215.0,12.5,7.5,Country Ville,Country Ville,Country Ville
Juan L,William,Orange,Old Money,Country Ville,Opulence,Lust,Curated,Exhausted,6,Scarlett F,grand,6,Juan,Largo,,Agricultural Lead,Farm,Latino,72.0,169.0,9.5,7.25,Country Ville,Country Ville,Country Ville
Adam L,William,Orange,Old Money,Country Ville,Opulence,Lust,Curated,Exhausted,7,Serena S,grand,7,Adam,Lee,,Cattle Lead,Farm,White,72.0,225.0,12.0,7.0,Country Ville,Country Ville,Country Ville
Jmac,William,Orange,Old Money,Country Ville,Opulence,Lust,Curated,Exhausted,8,Kyler Q,grand,8,Jmac,,,Town Vet,Country Vet Office,White,73.0,178.0,10.25,8.25,Country Ville,Country Ville,Country Ville
Cyrus K,Sebastian,Violet,Underworld,Iron Syndicate,Glamour,Sloth,Alluring,Constrained,1,Madi C,uncle,1,Cyrus,King,,Gun Shop Owner / Supplier,Guns Storage,White,75.0,215.0,12.0,8.5,N District,Shady Town,Shady District
London F,Sebastian,Violet,Underworld,Iron Syndicate,Glamour,Sloth,Alluring,Constrained,2,Sasha T,uncle,2,London,Ford,,Club Owner / Host,Uncle's Break Room,Asian White,72.0,188.0,10.5,6.5,SW District,Men's Style Journal,NW District
Ray R,Sebastian,Violet,Underworld,Iron Syndicate,Glamour,Sloth,Alluring,Constrained,3,Ava W,uncle,3,Ray,Raven,,Bartender / Informant,Pub Hemlock,White,76.0,225.0,11.0,6.25,SW District,Pub Hemlock,N District
Danny M,Sebastian,Violet,Underworld,Iron Syndicate,Glamour,Sloth,Alluring,Constrained,4,Sadie P,uncle,4,Danny,Mountain,,Surveillance Expert,Iron Syndicate,White,76.0,235.0,12.0,8.0,NW District,Shady Town,Shady District
Max C,Sebastian,Violet,Underworld,Iron Syndicate,Glamour,Sloth,Alluring,Constrained,5,Asteria J,uncle,5,Max,Cartel,,Contract Killer / Cleaner,Iron Syndicate,Latino,70.0,170.0,10.0,8.0,NW District,Shady Town,Shady District
GI J,Sebastian,Violet,Underworld,Iron Syndicate,Glamour,Sloth,Alluring,Constrained,6,Valerica S,uncle,6,GI,Joey,,Mercenary / Tactical Leader,Iron Syndicate,White,73.0,225.0,11.5,9.0,NW District,Shady Town,Shady District
